method,mechanism,dataset,missing_rate,n_imputations,param,mean_bias,mean_perc_bias,mean_cov_rate,mean_ci_width,mean_fmi,mean_runtime,total_reps
CART,MAR,medium,0.2,10,I(x1 * x2),-0.08354565663402785,-13.92427610567132,0.7330000000000001,0.19470286915864143,0.27511699675898,0.24437977910041803,500.0
CART,MAR,medium,0.2,10,I(x2 ** 2),0.02712996779053305,10.85198711621323,0.993,0.1667428604541314,0.2669795533974223,0.24437977910041803,500.0
CART,MAR,medium,0.2,10,I(x3 * z),-0.0526730063850792,-35.11533759005282,0.999,0.2971535931245961,0.2626411795425949,0.24437977910041803,500.0
CART,MAR,medium,0.2,10,x1,-0.05880796500878695,-19.602655002928998,0.914,0.17949978597892097,0.238522597515139,0.24437977910041803,500.0
CART,MAR,medium,0.2,10,x2,-0.03205523549618295,-10.68507849872767,0.995,0.1884974630865848,0.23091132546169774,0.24437977910041803,500.0
CART,MAR,medium,0.2,10,x3,0.04026606784008805,20.133033920044056,0.999,0.21145981913666684,0.1890857109184686,0.24437977910041803,500.0
CART,MAR,medium,0.2,10,z,-0.05279778309858045,-21.11911323943221,0.998,0.287632499057474,0.20918084520618718,0.24437977910041803,500.0
CART,MAR,medium,0.2,20,I(x1 * x2),-0.0834330794254372,-13.905513237572876,0.743,0.19393962466417985,0.27418905807223376,0.4672510542869568,500.0
CART,MAR,medium,0.2,20,I(x2 ** 2),0.027060469105314053,10.824187642125633,0.992,0.16627091425211465,0.26692223980818797,0.4672510542869568,500.0
CART,MAR,medium,0.2,20,I(x3 * z),-0.05258832017712385,-35.0588801180826,0.999,0.2960289758775415,0.2614665494837378,0.4672510542869568,500.0
CART,MAR,medium,0.2,20,x1,-0.0589384284924717,-19.64614283082392,0.923,0.178997407550268,0.23778720619516955,0.4672510542869568,500.0
CART,MAR,medium,0.2,20,x2,-0.0319228415706778,-10.640947190225948,0.995,0.18785373005810668,0.2295325906488943,0.4672510542869568,500.0
CART,MAR,medium,0.2,20,x3,0.04025743538532875,20.12871769266441,0.998,0.21086400571288372,0.1869483953894852,0.4672510542869568,500.0
CART,MAR,medium,0.2,20,z,-0.0526242177919324,-21.049687116772965,0.997,0.2869326775283311,0.20812870333623285,0.4672510542869568,500.0
CART,MAR,medium,0.3,10,I(x1 * x2),-0.1068926252811084,-17.815437546851413,0.522,0.2156188955933953,0.38332811467975214,0.2490067243576049,500.0
CART,MAR,medium,0.3,10,I(x2 ** 2),0.02986292619814555,11.945170479258234,0.97,0.1848780246727665,0.37642299436125093,0.2490067243576049,500.0
CART,MAR,medium,0.3,10,I(x3 * z),-0.0774908086459417,-51.6605390972945,0.97,0.3192808527130946,0.3366551154027125,0.2490067243576049,500.0
CART,MAR,medium,0.3,10,x1,-0.0636545648756812,-21.21818829189375,0.86,0.1966212900131565,0.33936871887661896,0.2490067243576049,500.0
CART,MAR,medium,0.3,10,x2,-0.0378403492655177,-12.613449755172574,0.973,0.2073425483244358,0.3391626587045049,0.2490067243576049,500.0
CART,MAR,medium,0.3,10,x3,0.0375218893530381,18.760944676519063,0.997,0.22507792184765557,0.25904729793393694,0.2490067243576049,500.0
CART,MAR,medium,0.3,10,z,-0.0834969626745043,-33.39878506980174,0.9450000000000001,0.31198712547736185,0.30255180448342234,0.2490067243576049,500.0
CART,MAR,medium,0.3,20,I(x1 * x2),-0.10639224980329426,-17.732041633882382,0.513,0.21448781242347703,0.3853558980035787,0.49533380842208863,500.0
CART,MAR,medium,0.3,20,I(x2 ** 2),0.02972959153250035,11.891836613000171,0.974,0.18380604374846882,0.37754657036286443,0.49533380842208863,500.0
CART,MAR,medium,0.3,20,I(x3 * z),-0.0770178828709637,-51.34525524730917,0.984,0.3174926454153131,0.33625361813136434,0.49533380842208863,500.0
CART,MAR,medium,0.3,20,x1,-0.0637331466822285,-21.24438222740951,0.87,0.1950915634302192,0.3363030031438369,0.49533380842208863,500.0
CART,MAR,medium,0.3,20,x2,-0.037425831633572895,-12.475277211190985,0.972,0.204982465805908,0.3308824916333597,0.49533380842208863,500.0
CART,MAR,medium,0.3,20,x3,0.03749497510354475,18.747487551772405,0.999,0.22399339914063074,0.2565011511112902,0.49533380842208863,500.0
CART,MAR,medium,0.3,20,z,-0.0831211028210406,-33.24844112841626,0.956,0.3095943679826191,0.2979913093960588,0.49533380842208863,500.0
CART,MAR,medium,0.5,10,I(x1 * x2),-0.16737481453225725,-27.895802422042884,0.29300000000000004,0.2737278248370375,0.5740893755895362,0.266885969877243,500.0
CART,MAR,medium,0.5,10,I(x2 ** 2),0.03965590100580575,15.862360402322318,0.94,0.2346757777071356,0.5669120535583119,0.266885969877243,500.0
CART,MAR,medium,0.5,10,I(x3 * z),-0.10663944930357225,-71.09296620238153,0.928,0.3612656177569251,0.4372850775135948,0.266885969877243,500.0
CART,MAR,medium,0.5,10,x1,-0.0774616540275837,-25.820551342527914,0.7989999999999999,0.24109591547169879,0.5180741566287255,0.266885969877243,500.0
CART,MAR,medium,0.5,10,x2,-0.047873763476299847,-15.957921158766624,0.921,0.2540930159692263,0.5139317526335438,0.266885969877243,500.0
CART,MAR,medium,0.5,10,x3,0.02646776491149605,13.23388245574807,0.996,0.260176479174946,0.398963281640837,0.266885969877243,500.0
CART,MAR,medium,0.5,10,z,-0.13738781606829845,-54.955126427319385,0.753,0.3657159804604021,0.44653432274328725,0.266885969877243,500.0
CART,MAR,medium,0.5,20,I(x1 * x2),-0.16742184075578914,-27.90364012596487,0.28700000000000003,0.2717633901643737,0.5812316391614256,0.5241235930919648,500.0
CART,MAR,medium,0.5,20,I(x2 ** 2),0.03964766136396,15.859064545584028,0.951,0.23294976354669095,0.5742516580423217,0.5241235930919648,500.0
CART,MAR,medium,0.5,20,I(x3 * z),-0.1072621772727083,-71.50811818180557,0.9319999999999999,0.3577647026765606,0.43558931803107936,0.5241235930919648,500.0
CART,MAR,medium,0.5,20,x1,-0.07713413562429285,-25.711378541430967,0.8140000000000001,0.23990220697859943,0.5237781646766958,0.5241235930919648,500.0
CART,MAR,medium,0.5,20,x2,-0.04788754756833595,-15.962515856112006,0.9339999999999999,0.2521426445493272,0.5180090297141965,0.5241235930919648,500.0
CART,MAR,medium,0.5,20,x3,0.02674554952128285,13.372774760641441,0.997,0.2579397587328642,0.39667692377968067,0.5241235930919648,500.0
CART,MAR,medium,0.5,20,z,-0.13651706209523246,-54.60682483809299,0.753,0.36135226240130114,0.4426202849974341,0.5241235930919648,500.0
CART,MAR,small,0.2,10,I(x1 * x2),-0.05356986116423925,-29.761033980132957,0.953,0.18491503585776795,0.2325815949509703,0.23819438362121576,500.0
CART,MAR,small,0.2,10,I(x2 ** 2),0.02087078550615275,27.827714008203735,0.998,0.15867368064595921,0.2268095907723855,0.23819438362121576,500.0
CART,MAR,small,0.2,10,I(x3 * z),-0.02220484020468605,-49.344089343746916,1.0,0.2872693260239598,0.24417861753692455,0.23819438362121576,500.0
CART,MAR,small,0.2,10,x1,-0.0581874524565891,-19.395817485529726,0.91,0.17415617844506065,0.2249727487514544,0.23819438362121576,500.0
CART,MAR,small,0.2,10,x2,-0.02854181702481615,-9.513939008272054,0.994,0.18228479573744685,0.21232565629069622,0.23819438362121576,500.0
CART,MAR,small,0.2,10,x3,0.0396462186666872,19.823109333343616,0.997,0.20622302107953872,0.18134940528798765,0.23819438362121576,500.0
CART,MAR,small,0.2,10,z,-0.03233078300214175,-12.932313200856711,1.0,0.27981980216938634,0.19846108282473446,0.23819438362121576,500.0
CART,MAR,small,0.2,20,I(x1 * x2),-0.05373959570154465,-29.855330945302608,0.958,0.1842081879844919,0.23131173468863403,0.4622950007915496,500.0
CART,MAR,small,0.2,20,I(x2 ** 2),0.02108499823238055,28.11333097650742,0.997,0.15815344579064922,0.2257683374521925,0.4622950007915496,500.0
CART,MAR,small,0.2,20,I(x3 * z),-0.0221041828213919,-49.12040626975987,1.0,0.28634408099328224,0.2432234851283451,0.4622950007915496,500.0
CART,MAR,small,0.2,20,x1,-0.05829384499752355,-19.431281665841205,0.912,0.17390300316944385,0.22579581744719235,0.4622950007915496,500.0
CART,MAR,small,0.2,20,x2,-0.02833485066345765,-9.444950221152562,0.998,0.1812311564704984,0.20663502892340455,0.4622950007915496,500.0
CART,MAR,small,0.2,20,x3,0.03948794871311445,19.743974356557235,0.996,0.20577957640208366,0.18026740396154928,0.4622950007915496,500.0
