method,mechanism,dataset,missing_rate,n_imputations,param,bootstrap,max_depth,max_features,min_samples_leaf,n_estimators,min_impurity_decrease,avg_estimate,avg_bias,avg_perc_bias,coverage_rate,avg_ci_width,avg_fmi,avg_runtime,n_reps
CART,MAR,medium,0.2,20,x1,,None,,10.0,,0.0001,0.24,-0.06,-20.093,0.908,0.18,0.241,0.466,500.0
CART,MAR,medium,0.2,20,x2,,None,,10.0,,0.0001,0.267,-0.033,-11.041,0.992,0.189,0.233,0.466,500.0
CART,MAR,medium,0.2,20,x3,,None,,10.0,,0.0001,0.239,0.039,19.615,0.998,0.212,0.19,0.466,500.0
CART,MAR,medium,0.2,20,z,,None,,10.0,,0.0001,0.194,-0.056,-22.374,0.996,0.289,0.213,0.466,500.0
CART,MAR,medium,0.3,10,I(x1 * x2),,None,,5.0,,0.0001,0.5,-0.1,-16.687,0.588,0.212,0.37,0.252,500.0
CART,MAR,medium,0.3,10,I(x2 ** 2),,None,,5.0,,0.0001,0.281,0.031,12.266,0.966,0.182,0.363,0.252,500.0
CART,MAR,medium,0.3,10,I(x3 * z),,None,,5.0,,0.0001,0.076,-0.074,-49.106,0.978,0.317,0.337,0.252,500.0
CART,MAR,medium,0.3,10,x1,,None,,5.0,,0.0001,0.239,-0.061,-20.466,0.86,0.194,0.328,0.252,500.0
CART,MAR,medium,0.3,10,x2,,None,,5.0,,0.0001,0.264,-0.036,-12.133,0.97,0.205,0.331,0.252,500.0
CART,MAR,medium,0.3,10,x3,,None,,5.0,,0.0001,0.24,0.04,19.847,0.998,0.223,0.256,0.252,500.0
CART,MAR,medium,0.3,10,z,,None,,5.0,,0.0001,0.172,-0.078,-31.294,0.962,0.311,0.305,0.252,500.0
CART,MAR,medium,0.3,10,I(x1 * x2),,None,,10.0,,0.0001,0.486,-0.114,-18.944,0.456,0.22,0.397,0.246,500.0
CART,MAR,medium,0.3,10,I(x2 ** 2),,None,,10.0,,0.0001,0.279,0.029,11.624,0.974,0.188,0.389,0.246,500.0
CART,MAR,medium,0.3,10,I(x3 * z),,None,,10.0,,0.0001,0.069,-0.081,-54.215,0.962,0.321,0.336,0.246,500.0
CART,MAR,medium,0.3,10,x1,,None,,10.0,,0.0001,0.234,-0.066,-21.97,0.86,0.2,0.351,0.246,500.0
CART,MAR,medium,0.3,10,x2,,None,,10.0,,0.0001,0.261,-0.039,-13.093,0.976,0.21,0.347,0.246,500.0
CART,MAR,medium,0.3,10,x3,,None,,10.0,,0.0001,0.235,0.035,17.675,0.996,0.227,0.263,0.246,500.0
CART,MAR,medium,0.3,10,z,,None,,10.0,,0.0001,0.161,-0.089,-35.504,0.928,0.313,0.3,0.246,500.0
CART,MAR,medium,0.3,20,I(x1 * x2),,None,,5.0,,0.0001,0.5,-0.1,-16.586,0.586,0.211,0.374,0.495,500.0
CART,MAR,medium,0.3,20,I(x2 ** 2),,None,,5.0,,0.0001,0.281,0.031,12.235,0.97,0.181,0.367,0.495,500.0
CART,MAR,medium,0.3,20,I(x3 * z),,None,,5.0,,0.0001,0.077,-0.073,-48.812,0.984,0.316,0.336,0.495,500.0
CART,MAR,medium,0.3,20,x1,,None,,5.0,,0.0001,0.239,-0.061,-20.489,0.876,0.193,0.327,0.495,500.0
CART,MAR,medium,0.3,20,x2,,None,,5.0,,0.0001,0.264,-0.036,-12.032,0.972,0.203,0.324,0.495,500.0
CART,MAR,medium,0.3,20,x3,,None,,5.0,,0.0001,0.239,0.039,19.676,0.998,0.222,0.255,0.495,500.0
CART,MAR,medium,0.3,20,z,,None,,5.0,,0.0001,0.172,-0.078,-31.199,0.966,0.309,0.301,0.495,500.0
CART,MAR,medium,0.3,20,I(x1 * x2),,None,,10.0,,0.0001,0.487,-0.113,-18.878,0.44,0.218,0.397,0.495,500.0
CART,MAR,medium,0.3,20,I(x2 ** 2),,None,,10.0,,0.0001,0.279,0.029,11.549,0.978,0.187,0.388,0.495,500.0
CART,MAR,medium,0.3,20,I(x3 * z),,None,,10.0,,0.0001,0.069,-0.081,-53.879,0.984,0.319,0.337,0.495,500.0
CART,MAR,medium,0.3,20,x1,,None,,10.0,,0.0001,0.234,-0.066,-22.0,0.864,0.198,0.346,0.495,500.0
CART,MAR,medium,0.3,20,x2,,None,,10.0,,0.0001,0.261,-0.039,-12.919,0.972,0.207,0.338,0.495,500.0
CART,MAR,medium,0.3,20,x3,,None,,10.0,,0.0001,0.236,0.036,17.819,1.0,0.225,0.258,0.495,500.0
CART,MAR,medium,0.3,20,z,,None,,10.0,,0.0001,0.162,-0.088,-35.297,0.946,0.311,0.295,0.495,500.0
CART,MAR,medium,0.5,10,I(x1 * x2),,None,,5.0,,0.0001,0.446,-0.154,-25.743,0.338,0.266,0.56,0.269,500.0
CART,MAR,medium,0.5,10,I(x2 ** 2),,None,,5.0,,0.0001,0.29,0.04,16.032,0.93,0.229,0.555,0.269,500.0
CART,MAR,medium,0.5,10,I(x3 * z),,None,,5.0,,0.0001,0.048,-0.102,-67.875,0.934,0.359,0.44,0.269,500.0
CART,MAR,medium,0.5,10,x1,,None,,5.0,,0.0001,0.228,-0.072,-24.126,0.82,0.237,0.511,0.269,500.0
CART,MAR,medium,0.5,10,x2,,None,,5.0,,0.0001,0.254,-0.046,-15.436,0.928,0.251,0.513,0.269,500.0
CART,MAR,medium,0.5,10,x3,,None,,5.0,,0.0001,0.229,0.029,14.54,0.996,0.259,0.406,0.269,500.0
CART,MAR,medium,0.5,10,z,,None,,5.0,,0.0001,0.119,-0.131,-52.229,0.792,0.366,0.457,0.269,500.0
CART,MAR,medium,0.5,10,I(x1 * x2),,None,,10.0,,0.0001,0.42,-0.18,-30.049,0.248,0.282,0.589,0.264,500.0
CART,MAR,medium,0.5,10,I(x2 ** 2),,None,,10.0,,0.0001,0.289,0.039,15.693,0.95,0.241,0.579,0.264,500.0
CART,MAR,medium,0.5,10,I(x3 * z),,None,,10.0,,0.0001,0.039,-0.111,-74.311,0.922,0.363,0.434,0.264,500.0
CART,MAR,medium,0.5,10,x1,,None,,10.0,,0.0001,0.217,-0.083,-27.515,0.778,0.246,0.525,0.264,500.0
CART,MAR,medium,0.5,10,x2,,None,,10.0,,0.0001,0.251,-0.049,-16.48,0.914,0.257,0.515,0.264,500.0
CART,MAR,medium,0.5,10,x3,,None,,10.0,,0.0001,0.224,0.024,11.928,0.996,0.261,0.392,0.264,500.0
CART,MAR,medium,0.5,10,z,,None,,10.0,,0.0001,0.106,-0.144,-57.681,0.714,0.366,0.436,0.264,500.0
CART,MAR,medium,0.5,20,I(x1 * x2),,None,,5.0,,0.0001,0.445,-0.155,-25.753,0.338,0.264,0.566,0.53,500.0
CART,MAR,medium,0.5,20,I(x2 ** 2),,None,,5.0,,0.0001,0.29,0.04,16.118,0.938,0.227,0.562,0.53,500.0
CART,MAR,medium,0.5,20,I(x3 * z),,None,,5.0,,0.0001,0.048,-0.102,-68.067,0.946,0.356,0.44,0.53,500.0
CART,MAR,medium,0.5,20,x1,,None,,5.0,,0.0001,0.228,-0.072,-24.083,0.83,0.236,0.518,0.53,500.0
CART,MAR,medium,0.5,20,x2,,None,,5.0,,0.0001,0.254,-0.046,-15.421,0.94,0.249,0.514,0.53,500.0
CART,MAR,medium,0.5,20,x3,,None,,5.0,,0.0001,0.229,0.029,14.735,0.996,0.257,0.403,0.53,500.0
CART,MAR,medium,0.5,20,z,,None,,5.0,,0.0001,0.12,-0.13,-51.852,0.778,0.361,0.451,0.53,500.0
CART,MAR,medium,0.5,20,I(x1 * x2),,None,,10.0,,0.0001,0.42,-0.18,-30.054,0.236,0.28,0.597,0.518,500.0
CART,MAR,medium,0.5,20,I(x2 ** 2),,None,,10.0,,0.0001,0.289,0.039,15.6,0.964,0.239,0.587,0.518,500.0
CART,MAR,medium,0.5,20,I(x3 * z),,None,,10.0,,0.0001,0.038,-0.112,-74.949,0.918,0.359,0.431,0.518,500.0
CART,MAR,medium,0.5,20,x1,,None,,10.0,,0.0001,0.218,-0.082,-27.339,0.798,0.244,0.53,0.518,500.0
CART,MAR,medium,0.5,20,x2,,None,,10.0,,0.0001,0.25,-0.05,-16.504,0.928,0.256,0.522,0.518,500.0
CART,MAR,medium,0.5,20,x3,,None,,10.0,,0.0001,0.224,0.024,12.01,0.998,0.259,0.39,0.518,500.0
CART,MAR,medium,0.5,20,z,,None,,10.0,,0.0001,0.107,-0.143,-57.361,0.728,0.362,0.435,0.518,500.0
CART,MAR,small,0.2,10,I(x1 * x2),,None,,5.0,,0.0001,0.128,-0.052,-28.933,0.96,0.184,0.229,0.238,500.0
CART,MAR,small,0.2,10,I(x2 ** 2),,None,,5.0,,0.0001,0.097,0.022,29.363,0.998,0.158,0.221,0.238,500.0
CART,MAR,small,0.2,10,I(x3 * z),,None,,5.0,,0.0001,0.025,-0.02,-44.17,1.0,0.286,0.241,0.238,500.0
CART,MAR,small,0.2,10,x1,,None,,5.0,,0.0001,0.242,-0.058,-19.27,0.918,0.174,0.222,0.238,500.0
CART,MAR,small,0.2,10,x2,,None,,5.0,,0.0001,0.273,-0.027,-9.095,0.992,0.182,0.21,0.238,500.0
CART,MAR,small,0.2,10,x3,,None,,5.0,,0.0001,0.241,0.041,20.377,0.996,0.206,0.183,0.238,500.0
CART,MAR,small,0.2,10,z,,None,,5.0,,0.0001,0.22,-0.03,-12.159,1.0,0.279,0.193,0.238,500.0
CART,MAR,small,0.2,10,I(x1 * x2),,None,,10.0,,0.0001,0.125,-0.055,-30.589,0.946,0.185,0.236,0.239,500.0
CART,MAR,small,0.2,10,I(x2 ** 2),,None,,10.0,,0.0001,0.095,0.02,26.292,0.998,0.159,0.232,0.239,500.0
CART,MAR,small,0.2,10,I(x3 * z),,None,,10.0,,0.0001,0.02,-0.025,-54.518,1.0,0.288,0.247,0.239,500.0
CART,MAR,small,0.2,10,x1,,None,,10.0,,0.0001,0.241,-0.059,-19.522,0.902,0.175,0.228,0.239,500.0
CART,MAR,small,0.2,10,x2,,None,,10.0,,0.0001,0.27,-0.03,-9.933,0.996,0.183,0.215,0.239,500.0
CART,MAR,small,0.2,10,x3,,None,,10.0,,0.0001,0.239,0.039,19.269,0.998,0.206,0.179,0.239,500.0
CART,MAR,small,0.2,10,z,,None,,10.0,,0.0001,0.216,-0.034,-13.705,1.0,0.281,0.204,0.239,500.0
CART,MAR,small,0.2,20,I(x1 * x2),,None,,5.0,,0.0001,0.127,-0.053,-29.267,0.958,0.184,0.227,0.464,500.0
CART,MAR,small,0.2,20,I(x2 ** 2),,None,,5.0,,0.0001,0.097,0.022,29.912,0.996,0.158,0.222,0.464,500.0
CART,MAR,small,0.2,20,I(x3 * z),,None,,5.0,,0.0001,0.026,-0.019,-43.3,1.0,0.286,0.244,0.464,500.0
CART,MAR,small,0.2,20,x1,,None,,5.0,,0.0001,0.242,-0.058,-19.276,0.912,0.173,0.221,0.464,500.0
CART,MAR,small,0.2,20,x2,,None,,5.0,,0.0001,0.273,-0.027,-9.089,0.998,0.181,0.205,0.464,500.0
CART,MAR,small,0.2,20,x3,,None,,5.0,,0.0001,0.24,0.04,20.115,0.996,0.206,0.182,0.464,500.0
CART,MAR,small,0.2,20,z,,None,,5.0,,0.0001,0.219,-0.031,-12.233,1.0,0.279,0.196,0.464,500.0
CART,MAR,small,0.2,20,I(x1 * x2),,None,,10.0,,0.0001,0.125,-0.055,-30.443,0.958,0.185,0.236,0.461,500.0
CART,MAR,small,0.2,20,I(x2 ** 2),,None,,10.0,,0.0001,0.095,0.02,26.315,0.998,0.159,0.23,0.461,500.0
CART,MAR,small,0.2,20,I(x3 * z),,None,,10.0,,0.0001,0.02,-0.025,-54.941,1.0,0.286,0.243,0.461,500.0
CART,MAR,small,0.2,20,x1,,None,,10.0,,0.0001,0.241,-0.059,-19.586,0.912,0.175,0.231,0.461,500.0
CART,MAR,small,0.2,20,x2,,None,,10.0,,0.0001,0.271,-0.029,-9.801,0.998,0.182,0.209,0.461,500.0
CART,MAR,small,0.2,20,x3,,None,,10.0,,0.0001,0.239,0.039,19.373,0.996,0.206,0.178,0.461,500.0
CART,MAR,small,0.2,20,z,,None,,10.0,,0.0001,0.215,-0.035,-13.809,1.0,0.279,0.198,0.461,500.0
CART,MAR,small,0.3,10,I(x1 * x2),,None,,5.0,,0.0001,0.124,-0.056,-31.33,0.91,0.199,0.327,0.251,500.0
CART,MAR,small,0.3,10,I(x2 ** 2),,None,,5.0,,0.0001,0.094,0.019,25.343,0.99,0.171,0.323,0.251,500.0
CART,MAR,small,0.3,10,I(x3 * z),,None,,5.0,,0.0001,0.009,-0.036,-79.619,1.0,0.307,0.328,0.251,500.0
