dataset,mechanism,method,missing_rate_target,n_imputations,maxit,n_obs,n_reps,runtime_sec_mean,missing_rate_achieved_mean,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,x1:C(cat)[T.B],0.8,0.8499479182653453,0.110803569660855,0.4343499930705516,0.0499479182653454,6.243489783168178,0.0800078765662122,0.995,0.4783479675047165
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,x1:C(cat)[T.C],-0.8,-0.8186839453223418,0.1242503581637802,0.4870614040020184,-0.0186839453223416,2.335493165292712,0.0693415984677327,1.0,0.4645758353607728
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,x2,0.3,0.2835369492014309,0.0408551117611585,0.1601520381037414,-0.016463050798569,-5.487683599523001,0.0284039883754427,0.994,0.3412344459784548
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,x3,0.2,0.1298635594057205,0.0420688047648011,0.1649097146780205,-0.0701364405942794,-35.06822029713974,0.0745749041865673,0.662,0.3789788682292513
categorical_interaction,MAR,cart,0.3,20,1,1000,1000,0.4720822682380676,0.3002619999999999,z,0.25,0.111240186194068,0.0803440455135612,0.31494865841316,-0.1387598138059319,-55.50392552237279,0.143623096148824,0.675,0.2943686217129903
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,C(cat)[T.B],0.0,0.06302736185119,0.1316896181607137,0.5162233031899977,0.06302736185119,,0.1027986772911533,0.986,0.5870763769350462
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,C(cat)[T.C],0.0,0.0015736201933635,0.1375561050845673,0.5392199319315041,0.0015736201933635,,0.0894204314999171,0.996,0.5614597223358714
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,x1,0.3,0.2891114001508262,0.1119988548903299,0.4390355111700934,-0.0108885998491737,-3.6295332830579214,0.0714873535930706,0.997,0.6805895375410609
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,x1:C(cat)[T.B],0.8,0.7575441593972683,0.1579820479192795,0.6192896278435756,-0.0424558406027317,-5.30698007534147,0.1073625606386491,0.996,0.7135874216916538
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,x1:C(cat)[T.C],-0.8,-0.7439975511726071,0.1737561440823995,0.6811240848030061,0.0560024488273929,-7.000306103424121,0.1212073029532137,0.991,0.6968514435150248
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,x2,0.3,0.2649827139621403,0.049795241264068,0.1951973457551467,-0.0350172860378596,-11.672428679286549,0.0508961042957234,0.948,0.5168663393982929
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,x3,0.2,0.1205173309230453,0.0510345491595719,0.2000554327055221,-0.0794826690769546,-39.74133453847733,0.0876060551725494,0.685,0.5379040328524443
categorical_interaction,MAR,cart,0.5,20,1,1000,1000,0.5529634795188904,0.499942,z,0.25,0.1022090691780307,0.0941314470998071,0.3689952726312437,-0.1477909308219692,-59.11637232878769,0.156251225159625,0.716,0.4413880159807772
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,C(cat)[T.B],0.0,0.0374128871767473,0.0881729462536444,0.3456379493142861,0.0374128871767473,,0.0563132312776007,1.0,0.1905956205752883
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,C(cat)[T.C],0.0,0.007807719797064,0.0952454492806701,0.3733621611802268,0.007807719797064,,0.0454706377736364,1.0,0.194548989080243
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,x1,0.3,0.2893617292763978,0.066545437109763,0.2608581134702711,-0.0106382707236021,-3.5460902412007065,0.0360204998962569,1.0,0.2356880621334803
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,x1:C(cat)[T.B],0.8,0.8794990329592133,0.08891417984894,0.348543585007845,0.0794990329592132,9.937379119901651,0.0923596360567043,0.978,0.2318322127812451
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,x1:C(cat)[T.C],-0.8,-0.8497486264930192,0.1016739462124666,0.3985618691528693,-0.0497486264930191,6.218578311627394,0.070269732476114,0.999,0.236583096509637
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,x2,0.3,0.2946494954794325,0.0366362028823571,0.1436139152988402,-0.0053505045205675,-1.7835015068558502,0.0183639748125855,1.0,0.2079810486543576
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,x3,0.2,0.1397285816745977,0.0373728548412999,0.1465015909778959,-0.0602714183254022,-30.13570916270113,0.0636234173495664,0.738,0.2405921148819904
categorical_interaction,MAR,rf,0.2,20,1,1000,1000,2.3456752269268035,0.200151,z,0.25,0.1150475076432062,0.0738215205612485,0.2893803606000942,-0.1349524923567937,-53.98099694271748,0.1386489582844045,0.631,0.1901032085725906
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,C(cat)[T.B],0.0,0.0460642966420857,0.0937976168005161,0.3676866578580234,0.0460642966420857,,0.0718315816379414,0.998,0.2618365742340964
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,C(cat)[T.C],0.0,0.0106084220030633,0.1013673944845272,0.3973601863793468,0.0106084220030633,,0.0610217393353031,1.0,0.2655522617196104
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,x1,0.3,0.2893582505088213,0.0719921252649652,0.282209131038664,-0.0106417494911785,-3.547249830392857,0.0457798557644928,0.999,0.3243970607530071
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,x1:C(cat)[T.B],0.8,0.8502607615528173,0.0961024733861265,0.3767216956736159,0.0502607615528172,6.282595194102153,0.0799285029349685,0.99,0.3210880359206346
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,x1:C(cat)[T.C],-0.8,-0.8277412158736221,0.1094489020636187,0.4290396960893855,-0.027741215873622,3.4676519842027558,0.0727700404407514,0.998,0.3191517187970932
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,x2,0.3,0.2874246481523501,0.039023459271396,0.1529719603438723,-0.0125753518476499,-4.191783949216652,0.0265448049132366,0.995,0.2788608159404466
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,x3,0.2,0.1364097576527674,0.0396330396351426,0.1553615153697591,-0.0635902423472326,-31.79512117361631,0.0688207567912217,0.684,0.3029854513914414
categorical_interaction,MAR,rf,0.3,20,1,1000,1000,2.647729043483734,0.3002619999999999,z,0.25,0.1115313074385904,0.0782443437508512,0.3067178275033368,-0.1384686925614095,-55.387477024563815,0.1439061011739795,0.639,0.2556841001873638
categorical_interaction,MAR,rf,0.5,20,1,1000,1000,3.2587641882896423,0.499942,C(cat)[T.B],0.0,0.0587782958792525,0.1064502889194047,0.4172851325640664,0.0587782958792525,,0.100639307297521,0.963,0.3803300444348447
categorical_interaction,MAR,rf,0.5,20,1,1000,1000,3.2587641882896423,0.499942,C(cat)[T.C],0.0,0.0024195032040184,0.1148191514242274,0.4500910735829715,0.0024195032040184,,0.0888212777695655,0.989,0.3824285533511542
