dataset,mechanism,method,missing_rate_target_per_var,n_imputations,maxit_used,n_obs,n_reps,runtime_sec_mean,achieved_missing_overall_mean,achieved_missing_y,achieved_missing_x1,achieved_missing_x2,achieved_missing_x3,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
linear_main,MAR_monotone,rf,0.2,10,10,1000,500,50.94095367479324,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x1,0.3,0.2439796102205587,0.0516259042746019,0.2023735447564395,-0.0560203897794412,-18.673463259813737,0.0795679090298975,0.772,0.4101245196399383
linear_main,MAR_monotone,rf,0.2,20,10,1000,500,101.48849312496183,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x2,0.3,0.2608068875320707,0.0539545393365053,0.2115017941991011,-0.0391931124679292,-13.064370822643095,0.0673631346705487,0.866,0.4076749446180945
linear_main,MAR_monotone,rf,0.2,10,10,1000,500,50.94095367479324,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x2,0.3,0.2605351993352551,0.0545087438715947,0.2136742759766512,-0.0394648006647448,-13.154933554914964,0.0682937669815097,0.858,0.4094374668485612
linear_main,MAR_monotone,rf,0.2,20,10,1000,500,101.48849312496183,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x3,0.2,0.2233836494760635,0.0449216081760673,0.176092704050184,0.0233836494760634,11.691824738031745,0.0516283968045855,0.914,0.4115834217240853
linear_main,MAR_monotone,rf,0.2,10,10,1000,500,50.94095367479324,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,x3,0.2,0.2232825323062128,0.0450443866105622,0.1765739955134039,0.0232825323062128,11.641266153106429,0.0521083075400266,0.912,0.4056544470286272
linear_main,MAR_monotone,rf,0.2,20,10,1000,500,101.48849312496183,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,z,0.25,0.1843146571536154,0.0831454480050196,0.3259301561796769,-0.0656853428463845,-26.274137138553805,0.0956873824978691,0.928,0.3987069130128942
linear_main,MAR_monotone,rf,0.2,10,10,1000,500,50.94095367479324,0.4105155,0.5912719999999999,0.20067,0.360842,0.489278,z,0.25,0.1845713671588112,0.0832378469801063,0.3262923601620169,-0.0654286328411888,-26.17145313647552,0.0959484550383007,0.922,0.3917265539703807
linear_main,MAR_monotone,rf,0.4,10,10,1000,500,63.537454738140106,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x1,0.3,0.2185320103329429,0.0619329752757155,0.2427772630808048,-0.081467989667057,-27.15599655568569,0.1371923660538783,0.596,0.5812813411051736
linear_main,MAR_monotone,rf,0.4,20,10,1000,500,192.3277518105507,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x1,0.3,0.2187322137551549,0.0617000904885104,0.2418643547149611,-0.0812677862448449,-27.089262081615,0.1365844859913653,0.594,0.5882270781820762
linear_main,MAR_monotone,rf,0.4,10,10,1000,500,63.537454738140106,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x2,0.3,0.2275643312516781,0.0654529476633554,0.2565755548403531,-0.0724356687483218,-24.14522291610728,0.136766535034437,0.624,0.5781407910336042
linear_main,MAR_monotone,rf,0.4,20,10,1000,500,192.3277518105507,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x2,0.3,0.227654826588013,0.065124214367447,0.2552869203203924,-0.0723451734119869,-24.11505780399564,0.1356620463183269,0.634,0.5828789188263397
linear_main,MAR_monotone,rf,0.4,10,10,1000,500,63.537454738140106,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x3,0.2,0.1888678728426777,0.054051712188176,0.21188271177765,-0.0111321271573222,-5.566063578661115,0.0966232346777868,0.73,0.5660565942409929
linear_main,MAR_monotone,rf,0.4,20,10,1000,500,192.3277518105507,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,x3,0.2,0.1882510920070768,0.0538622869353184,0.2111401647864482,-0.0117489079929231,-5.874453996461586,0.0968386916228152,0.734,0.5737926662378513
linear_main,MAR_monotone,rf,0.4,10,10,1000,500,63.537454738140106,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,z,0.25,0.116272780636144,0.0985412228981969,0.3862815937609322,-0.1337272193638559,-53.49088774554238,0.1775728949088257,0.63,0.5442464731935598
linear_main,MAR_monotone,rf,0.4,20,10,1000,500,192.3277518105507,0.6736694999999999,0.8707239999999999,0.399942,0.639626,0.7843859999999999,z,0.25,0.1171637185753419,0.0975889592633679,0.3825487203124024,-0.132836281424658,-53.134512569863205,0.1750245201726589,0.642,0.5466863555366079
